Ten phim,Nam san xuat,Diem phe binh,Cam xuc phe binh,Diem khan gia,Cam xuc cua khan gia,Ngay ra rap,Ngay phat song,Danh gia,Ngon ngu,Thoi luong phim
The Price We Pay,2023,56.0,negative,31.0,negative,13/01/2023,10/01/2023,R (Strong Horror Violence|Pervasive Language|Gore),English,1h 26m
Dumb Money,2023,84.0,positive,85.0,positive,22/09/2023,07/11/2023,R (Pervasive Language|Drug Use|Sexual Material),English,1h 45m
Desperation Road,2023,60.0,positive,77.0,positive,06/10/2023,06/10/2023,R (Nudity|Language Throughout|Brief Sexuality|Sexual Assault|Some Violence),English,1h 52m
Extraction 2,2023,79.0,positive,85.0,positive,09/06/2023,16/06/2023,R (Language|Strong/Bloody Violence),English,2h 3m
Tetris,2023,81.0,positive,87.0,positive,24/03/2023,31/03/2023,R (Language),English,1h 58m
Wild Life,2023,91.0,positive,72.0,positive,14/04/2023,26/05/2023,PG-13 (Brief Strong Language),English,1h 33m
Next Goal Wins,2023,45.0,negative,84.0,positive,17/11/2023,16/01/2024,PG-13 (Some Strong Language|Crude Material),English,1h 44m
Creed III,2023,88.0,positive,95.0,positive,03/03/2023,31/03/2023,PG-13 (Some Strong Language|Intense Sports Action|Violence),English,1h 56m
Mercy Road,2023,55.0,negative,33.0,negative,06/10/2023,10/10/2023,R (Language Throughout),English (Australia),1h 25m
The Amazing Maurice,2023,73.0,positive,68.0,positive,03/02/2023,04/04/2023,PG (Some Rude Material|Action/Peril),English,1h 33m
The Boogeyman,2023,61.0,positive,66.0,positive,02/06/2023,29/08/2023,PG-13 (Teen Drug Use|Some Strong Language|Terror|Violent Content),English,1h 38m
The Lost King,2023,77.0,positive,92.0,positive,24/03/2023,09/05/2023,PG-13 (Some Strong Language|Brief Suggestive References),English,1h 49m
Slotherhouse,2023,61.0,positive,72.0,positive,30/08/2023,19/09/2023,PG-13 (Violence|Language|Bloody Images),English,1h 33m
Chicken Run: Dawn of the Nugget,2023,81.0,positive,71.0,positive,08/12/2023,15/12/2023,PG (Some Thematic Elements|Peril|Action),English,1h 41m
Mercy,2023,0.0,negative,21.0,negative,12/05/2023,19/05/2023,R (Violence|Pervasive Language|Bloody Images),English,1h 25m
Space Oddity,2023,56.0,negative,64.0,positive,31/03/2023,31/03/2023,PG-13 (Thematic Elements|Suggestive Material|Some Strong Language),English,1h 32m
Cassandro,2023,91.0,positive,74.0,positive,15/09/2023,22/09/2023,R (Sexual Content|Language|Drug Use),English,1h 47m
The Tutor,2023,18.0,negative,36.0,negative,24/03/2023,09/05/2023,R,English,1h 32m
The Blackening,2023,87.0,positive,85.0,positive,16/06/2023,07/07/2023,R (Pervasive Language|Drug Use|Violence),English,1h 37m
The Pod Generation,2023,41.0,negative,55.0,negative,11/08/2023,29/08/2023,PG-13 (Suggestive Material|Partial Nudity|Brief Strong Language),English,1h 49m
A Good Person,2023,57.0,negative,96.0,positive,24/03/2023,11/04/2023,R (Language Throughout|Drug Abuse|Some Sexual References),English,2h 9m
Retribution,2023,29.0,negative,66.0,positive,25/08/2023,15/09/2023,R (Some Language and Violence),English,1h 30m
The Kitchen,2023,89.0,positive,47.0,negative,08/12/2023,19/01/2024,R (Language),English,1h 48m
Freelance,2023,10.0,negative,76.0,positive,27/10/2023,28/11/2023,R (Violence and Language),English,1h 49m
The Out-Laws,2023,21.0,negative,35.0,negative,30/06/2023,07/07/2023,R (Sexual Material|Language Throughout|Brief Drug Use|Violence),English,1h 35m
Out of Exile,2023,25.0,negative,50.0,negative,20/01/2023,20/01/2023,R,English,1h 47m
Insidious: The Red Door,2023,39.0,negative,70.0,positive,07/07/2023,01/08/2023,PG-13 (Strong Language|Frightening Images|Suggestive References|Terror|Violence),English,1h 47m
Migration,2023,73.0,positive,88.0,positive,22/12/2023,23/01/2024,PG (Mild Rude Humor|Action/Peril),English,1h 23m
Good Boy,2023,94.0,positive,42.0,negative,08/09/2023,08/09/2023,R (Some Violent Content|Language),Norwegian,1h 19m
The Other Zoey,2023,80.0,positive,79.0,positive,20/10/2023,10/11/2023,PG-13 (Some Strong Language|Suggestive References),English,1h 26m
