movieId,movieYear,movieURL,movieTitle,critic_score,critic_sentiment,audience_score,audience_sentiment,release_date_theaters,release_date_streaming,rating,original_language,runtime
27539355-4940-4c29-aaab-d3fe4dafa4ee,2023,https://www.rottentomatoes.com/m/spider_man_across_the_spider_verse,Spider-Man: Across the Spider-Verse,95,positive,94,positive,"Jun 2, 2023, Wide",8-Aug-23,PG (Some Language|Animated Action Violence|Thematic Elements),English,2h 20m
280fc921-c63a-338b-bed5-136e92aa72f8,2023,https://www.rottentomatoes.com/m/five_nights_at_freddys,Five Nights at Freddy's,32,negative,87,positive,"Oct 27, 2023, Wide",27-Oct-23,PG-13 (Language|Bloody Images|Strong Violent Content),English,1h 50m
282676a0-b6c5-35ff-b17f-628faf4683ee,2023,https://www.rottentomatoes.com/m/vindicta,Vindicta,14,negative,31,negative,"Oct 6, 2023, Limited",16-Oct-23,R (Brief Drug Material|Violence and Gore|Language),English,1h 23m
2828879f-d67c-35df-8809-8f370478c1ee,2023,https://www.rottentomatoes.com/m/a_tourists_guide_to_love,A Tourist's Guide to Love,68,positive,65,positive,,21-Apr-23,,English,1h 34m
286d4eb0-5315-4ec1-8e3b-2375e6a72b1d,2023,https://www.rottentomatoes.com/m/the_breach,The Breach,82,positive,26,negative,,11-Jul-23,,English,1h 32m
28b6bcb7-ed0f-49a9-bd1d-eeadfe19f868,2023,https://www.rottentomatoes.com/m/teen_wolf_the_movie,Teen Wolf: The Movie,32,negative,65,positive,,26-Jan-23,,English,1h 17m
28fae934-76a6-4dd3-9585-492f5916bccd,2023,https://www.rottentomatoes.com/m/barber_2023,Barber,77,positive,67,positive,"Sep 22, 2023, Limited",22-Sep-23,,English,1h 30m
2910119f-ffbe-358c-a6cb-efcfa817d3a2,2023,https://www.rottentomatoes.com/m/ghosted_2023,Ghosted,25,negative,55,negative,,21-Apr-23,PG-13 (Brief Strong Language|Some Sexual Content|Seq. of Strong violence/Action),English,1h 56m
29c489d0-06dd-4790-af60-9a0c0891fed9,2023,https://www.rottentomatoes.com/m/the_hatchet_wielding_hitchhiker,The Hatchet Wielding Hitchhiker,93,positive,44,negative,,10-Jan-23,TV-MA (Language|Sexual Violence References|Smoking),English,1h 25m
2b1e9371-7497-388f-bddb-7d77e9c719be,2023,https://www.rottentomatoes.com/m/the_portrait_2023,The Portrait,75,positive,41,negative,,8-Dec-23,,English (United Kingdom),1h 26m
